"wid","agegroup","gender","hand","thirdgrade_usa","thirdgrade_usa_region","s1_dae","s1_time","s2_dae","s2_time","s3_dae","s3_time"
"0233","18-24","Male","Right","FALSE","NA","340","Late Evening","380","Late Evening","0","Late Evening"
"0362","18-24","Female","Right","TRUE","Midwest","0","Late Afternoon","29","Early Afternoon","58","Early Afternoon"
"0502","25-40","Female","Right","FALSE","NA","0","Early Morning","28","Early Evening","112","Late Evening"
"0452","41-60","Female","Right","TRUE","Midwest","0","Early Afternoon","27","Late Morning","56","Early Evening"
"0260","41-60","Female","Right","TRUE","Northeast","0","Early Evening","55","Late Morning","108","Late Morning"
"0182","41-60","Male","Right","FALSE","NA","0","Late Evening","93","Early Afternoon","132","Early Morning"
"0497","41-60","Female","Right","TRUE","Midwest","0","Early Afternoon","24","Early Afternoon","48","Early Afternoon"
"0302","18-24","Male","Right","TRUE","Midwest","0","Early Afternoon","60","Late Afternoon","107","Late Evening"
"0155","41-60","male","right","TRUE","midwest","0","lateevening","36","lateevening","99","lateevening"
"0514","25-40","Female","Right","TRUE","Midwest","0","Late Morning","22","Early Morning","60","Late Evening"
"0015","41-60","female","right","TRUE","midwest","0","lateevening","39","earlymorning","78","lateafternoon"
"0238","41-60","Female","Right","TRUE","West","0","Late Evening","33","Late Afternoon","75","Early Evening"
"0391","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","26","Late Morning","52","Late Afternoon"
"0403","18-24","Female","Right","FALSE","NA","401","Early Afternoon","421","Late Afternoon","0","Late Morning"
"0367","25-40","Female","Right","TRUE","Northeast","0","Early Evening","24","Late Afternoon","48","Late Afternoon"
"0092","41-60","female","right","TRUE","midwest","0","earlyafternoon","35","earlymorning","67","latemorning"
"0287","18-24","Female","Left","TRUE","Midwest","0","Early Afternoon","39","Early Afternoon","66","Late Morning"
"0443","18-24","Female","Right","TRUE","Midwest","0","Late Morning","35","Early Evening","61","Early Afternoon"
"0282","18-24","Male","Right","TRUE","Midwest","0","Late Evening","27","Late Evening","49","Late Evening"
"0143","41-60","female","right","TRUE","midwest","0","lateafternoon","29","NA","55","lateafternoon"
"0355","18-24","Male","Right","TRUE","Midwest","0","Early Evening","55","Early Afternoon","80","Late Afternoon"
"0429","18-24","Female","Right","TRUE","Midwest","0","Late Morning","28","Early Evening","70","Late Afternoon"
"0334","41-60","Male","Right","TRUE","South","0","Early Evening","41","Late Afternoon","81","Late Afternoon"
"0027","41-60","female","right","TRUE","midwest","0","earlyafternoon","22","earlyafternoon","49","latemorning"
"0028","41-60","female","right","TRUE","midwest","0","earlyafternoon","34","earlymorning","67","earlymorning"
"0061","25-40","female","right","TRUE","south","0","earlyafternoon","23","earlyafternoon","48","latemorning"
"0353","25-40","Male","Right","TRUE","Midwest","0","Late Morning","40","Late Afternoon","69","Early Morning"
"0128","18-24","female","right","TRUE","NA","0","earlyafternoon","40","earlyafternoon","71","latemorning"
"0232","41-60","Female","Right","TRUE","Northeast","0","Late Morning","28","Late Morning","62","Late Afternoon"
"0342","18-24","Male","Right","TRUE","Midwest","0","Early Evening","22","Late Morning","44","Late Afternoon"
"0313","18-24","Female","Right","TRUE","West","0","Early Afternoon","48","Early Afternoon","154","Early Afternoon"
"0031","41-60","male","right","TRUE","midwest","0","lateevening","22","earlyevening","43","lateevening"
"0145","25-40","male","right","TRUE","midwest","0","lateevening","27","latemorning","62","lateevening"
"0493","NA","Female","Left","TRUE","Midwest","0","NA","29","Early Evening","110","Early Afternoon"
"0034","25-40","female","right","TRUE","midwest","0","earlymorning","28","lateafternoon","50","lateafternoon"
"0451","18-24","Female","Right","TRUE","Midwest","0","Late Morning","400","Early Evening","422","Early Afternoon"
"0254","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","35","Early Afternoon","84","Late Evening"
"0364","25-40","Female","Right","TRUE","Midwest","0","Late Afternoon","26","Late Morning","52","Late Evening"
"0206","41-60","Female","Right","TRUE","Midwest","0","Early Evening","45","Early Evening","80","Late Afternoon"
"0263","25-40","Female","Right","FALSE","NA","0","Late Morning","30","Early Afternoon","100","Early Evening"
"0144","41-60","female","right","TRUE","midwest","0","earlyafternoon","28","lateafternoon","64","lateafternoon"
"0189","18-24","Female","Right","TRUE","Midwest","0","Late Morning","33","Late Evening","72","Early Afternoon"
"0365","41-60","Female","Right","FALSE","NA","0","Late Evening","33","Late Evening","61","Late Evening"
"0435","18-24","Female","Right","TRUE","Midwest","0","Late Evening","42","Early Afternoon","66","Early Morning"
"0458","18-24","Male","Left","TRUE","Midwest","0","Early Evening","21","Early Afternoon","45","Late Afternoon"
"0220","25-40","Male","Right","TRUE","Midwest","0","Early Evening","54","Late Morning","119","Late Evening"
"0500","18-24","Female","Right","TRUE","Midwest","0","Late Morning","22","Early Afternoon","41","Late Morning"
"0383","25-40","Female","Right","FALSE","NA","0","Early Afternoon","67","Late Afternoon","88","Late Afternoon"
"0134","25-40","male","right","TRUE","west","0","earlyafternoon","26","earlyevening","89","lateevening"
"0350","41-60","Female","Right","TRUE","Midwest","0","Late Afternoon","35","Late Morning","72","Late Morning"
"0202","25-40","Female","Right","TRUE","West","0","Early Afternoon","60","Late Afternoon","250","Early Afternoon"
"0162","25-40","Female","Right","TRUE","Midwest","0","Late Afternoon","76","Early Afternoon","116","Late Morning"
"0229","61+","Female","Right","TRUE","Midwest","0","Early Afternoon","47","Early Morning","73","Early Morning"
"0193","61+","Female","Right","TRUE","West","0","Early Morning","32","Late Afternoon","58","Late Afternoon"
"0291","41-60","Male","Right","TRUE","Midwest","0","Early Afternoon","32","Early Afternoon","60","Late Afternoon"
"0337","41-60","Female","Right","TRUE","Midwest","0","Early Evening","32","Early Evening","128","Early Afternoon"
"0344","25-40","Female","Right","TRUE","South","0","Late Morning","26","Early Evening","67","Early Evening"
"0009","18-24","female","right","TRUE","midwest","0","earlyafternoon","40","earlyafternoon","87","lateevening"
"0484","18-24","Female","Left","TRUE","Midwest","0","Late Afternoon","26","Early Evening","73","Early Afternoon"
"0204","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","38","Late Morning","91","Early Afternoon"
"0489","18-24","Female","Right","TRUE","Midwest","0","Late Morning","24","Early Afternoon","57","Early Evening"
"0125","18-24","male","left","TRUE","midwest","0","earlyevening","42","NA","82","earlyevening"
